10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2024-12-17 10:51:57.329686
10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
10:51:57 17.12.2024 [                     make]: |  DEBUG|: Run all checks of user: solution
10:51:57 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2024-12-17 10:52:10.187063
10:52:10 17.12.2024 [             deliver.file]: |   INFO|: Files at /tmp/.private/gkuryachiy/tmp21k9d8wl/repo...
10:52:10 17.12.2024 [             deliver.file]: |  DEBUG|: User /tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1, TASK_ID=1, USER_ID=user, timestamp=2024-12-17
10:52:10 17.12.2024 [             deliver.file]: |  DEBUG|: Added task 1               for user user           
10:52:10 17.12.2024 [                     make]: |   INFO|: Parse and store all homeworks...
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Extracted ['user:1/0', 'user:1/1', 'user:1/2'] checks from f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=user:1/0, TASK_ID=1, USER_ID=user, category=CheckCategoryEnum.runtime, timestamp=2024-12-17 10:50
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=user:1/1, TASK_ID=1, USER_ID=user, category=CheckCategoryEnum.runtime, timestamp=2024-12-17 10:50
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=user:1/2, TASK_ID=1, USER_ID=user, category=CheckCategoryEnum.runtime, timestamp=2024-12-17 10:50
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Extracted ['user:1/0', 'user:1/1', 'user:1/2'] checks from f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Extracted user:1 solution from f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=user:1, TASK_ID=1, USER_ID=user, timestamp=2024-12-17 10:50:46.448170
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Extracted ['user:1/0', 'user:1/1', 'user:1/2'] checks from f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Extracted user:1 solution from f./tmp/.private/gkuryachiy/tmp21k9d8wl/repo/user/1 homework
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=user:1, TASK_ID=1, USER_ID=user, timestamp=2024-12-17 10:50:46.448170
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=Check run, timestamp=2024-12-17 10:52:10.228623
10:52:10 17.12.2024 [                     make]: |   INFO|: Run all checks on all solutions...
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
10:52:10 17.12.2024 [                     make]: |  DEBUG|: Run all checks of user:1 solution
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:52:10 17.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/user_1.py run
10:52:10 17.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=user:1/0@user:1, TASK_ID=1, USER_ID=user, category=CheckCategoryEnum.runtime, rating=1.0, timesta
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:52:10 17.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/user_1.py run
10:52:10 17.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=user:1/1@user:1, TASK_ID=1, USER_ID=user, category=CheckCategoryEnum.runtime, rating=1.0, timesta
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:52:10 17.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/user_1.py run
10:52:10 17.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=user:1/2@user:1, TASK_ID=1, USER_ID=user, category=CheckCategoryEnum.runtime, rating=1.0, timesta
10:52:10 17.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
